事件,事件A,事件B,关系,年份,实体
菲律宾回函拒绝马英九登太平岛邀请,菲律宾回函拒绝马英九登太平岛邀请。,马英九向菲律宾提出登太平岛的邀请。,顺承,2015,马英九太平岛
外交部：又有3国表态支持中国南海问题立场,外交部宣布又有3国表态支持中国南海问题立场。,中国南海问题相关的国际支持态势发生变化。,因果,2015,中国
美媒：中国在东海“和平挑战”,中国在东海进行“和平挑战”。,美媒对中国在东海的行动进行报道。,并发,2015,中国东海
奥巴马访广岛不向日本道歉,奥巴马访广岛。,奥巴马不向日本道歉。,因果,2015,广岛日本
人民日报：仲裁庭扩权滥权严重损害国际法治,仲裁庭扩权滥权。,严重损害国际法治。,因果,2015,
菲总统选举杜特蒂获大胜,杜特蒂参加菲律宾总统选举。,杜特蒂在选举中获大胜。,顺承,2015,杜特蒂
美媒：日军事化西南诸岛意在中国,日本在西南诸岛进行军事化。,美媒报道这一军事化行为意在针对中国。,因果,2015,中国
学者：中国可对朝鲜半岛局势发挥积极作用,学者认为中国可对朝鲜半岛局势发挥积极作用。,中国可能采取相关措施以改善朝鲜半岛局势。,因果,2015,中国朝鲜
东盟防长扩大会议海上安全与反恐联合演习进入第二阶段,东盟防长扩大会议召开。,海上安全与反恐联合演习进入第二阶段。,顺承,2015,
澳媒：中国海上战略转变,澳媒报道中国海上战略发生转变。,国际社会对中国的海上活动表示关注。,因果,2015,中国
外媒：日外相访越鼓吹东盟“抱团”遏华,日本外相访问越南。,日本外相鼓吹东盟“抱团”遏制中国。,顺承,2015,日
中国将参加今年环太平洋演习,中国将参加今年环太平洋演习。,环太平洋演习将于今年举行。,顺承,2015,参加太平洋
杨洁篪同塞内加尔总理迪奥纳举行会谈,杨洁篪同塞内加尔总理迪奥纳举行会谈。,会谈中讨论了中塞关系及合作事项。,顺承,2015,同塞内加尔迪奥纳
欧阳玉靖：中国不接受南海仲裁案裁决的三大理由,中国不接受南海仲裁案裁决。,中国对南海的主权声索。,因果,2015,中国南海
中方建设活动将提升南沙岛礁生态环境保护能力,中方建设活动将在南沙岛礁进行。,南沙岛礁的生态环境保护能力将得到提升。,因果,2015,
美国海军第七舰队旗舰访问上海,美国海军第七舰队旗舰访问上海。,此访问可能促进中美海军之间的交流与合作。,因果,2015,美国海军第七舰队上海
外交部：菲仲裁案披着法律外衣对中国进行政治挑衅,菲律宾提起仲裁案。,中国外交部发表声明称仲裁案是对中国的政治挑衅。,因果,2015,：中国
俄称俄日争议岛屿问题难有进展,俄罗斯表示俄日争议岛屿问题难有进展。,争议岛屿问题仍然存在。,因果,2015,俄日
南海舰队远海训练编队组织特情处置演练,南海舰队远海训练编队进行特情处置演练。,南海舰队准备应对可能出现的特殊情况。,因果,2015,
菲外交部为下任总统准备“外交纲领”,菲外交部为下任总统准备“外交纲领”。,下任总统将依据“外交纲领”进行外交活动。,条件,2015,
人民日报：不承认九二共识就是破坏两岸政治基础,不承认九二共识。,破坏两岸政治基础。,因果,2015,
亚投行敲定首个联合融资项目,亚投行敲定首个联合融资项目。,该项目将促进区域内基础设施建设。,因果,2015,
“兰州号”导弹驱逐舰参加16国南海联演,“兰州号”导弹驱逐舰参加16国南海联演。,16国进行南海联合演习。,并发,2015,南海
台湾30余位前“国安首长”将登太平岛,台湾30余位前“国安首长”将登太平岛。,该活动可能引发地区紧张局势。,因果,2015,台湾余太平岛
习近平同老挝国家主席本扬举行会谈,习近平同老挝国家主席本扬举行会谈。,双方讨论了双边合作和发展议题。,顺承,2015,老挝本扬
美媒：菲总统竞选人难靠南海议题捞选票,菲总统竞选人试图通过南海议题获取选票。,美媒认为菲总统竞选人难以凭借南海议题吸引选票。,因果,2015,南海
美印商讨反潜合作事宜,美印开始商讨反潜合作事宜。,美印计划加强海洋安全合作。,顺承,2015,印商讨
台增强太平岛兵力部署,台增强太平岛兵力部署。,周边国家对台政策产生反应。,并发,2015,太平岛
普京签署欧亚经济联盟与越南自贸协定,普京签署欧亚经济联盟与越南自贸协定。,欧亚经济联盟与越南之间的贸易关系得到加强。,因果,2015,
雪豹突击队亮相国际特种兵比武,雪豹突击队亮相国际特种兵比武。,国际特种兵比武中有其他国家的特种部队参与。,并发,2015,
美航母斯坦尼斯号访港遭拒,美航母斯坦尼斯号访问香港。,斯坦尼斯号遭到拒绝。,因果,2015,
华春莹：中国与印度关系出现转机,中国与印度关系出现转机。,华春莹发表相关声明。,并发,2015,中国印度
外媒：日外相访华中方要“听其言观其行”,日外相访华。,中方要“听其言观其行”。,条件,2015,
台湾千吨级巡护船正式赴冲之鸟礁护渔,台湾千吨级巡护船正式赴冲之鸟礁护渔。,台湾在冲之鸟礁区域展开渔业保护行动。,顺承,2015,冲之鸟礁
亚信会议：中方“亚洲安全观”获外界点赞,中方在亚信会议上提出“亚洲安全观”。,外界对中方的“亚洲安全观”表示赞赏。,顺承,2015,
美媒称中国将参加16国南海联合军演,中国将参加16国南海联合军演。,美媒报道这一消息。,顺承,2015,中国南海
王毅就改善中日关系提出四点要求,王毅提出改善中日关系的四点要求。,中日关系可能会因此得到改善。,因果,2015,中日
李克强会见日本外相岸田文雄,李克强会见日本外相岸田文雄。,李克强与岸田文雄讨论了两国关系。,并发,2015,李克强日本岸田文雄
外交部：中国对日本冲之鸟礁主张不予承认,中国对日本冲之鸟礁主张不予承认。,外交部发表声明。,顺承,2015,中国日本冲之鸟礁
国防部：美国维护的是“美式国际法”,国防部发表声明。,美国维护的是“美式国际法”。,因果,2015,美国
外媒：习近平谈南海论朝核有柔有刚,习近平谈南海问题。,习近平谈朝核问题。,并发,2015,
亚信中国角色受各方赞赏习主席再提亚洲安全观,习主席再提亚洲安全观。,亚信中国角色受各方赞赏。,因果,2015,中国亚洲
王毅：对话、合作、发展是维护亚洲安全的重要理念,王毅提出对话、合作、发展的重要理念。,对话、合作、发展被认为是维护亚洲安全的重要理念。,因果,2015,
中国倡议与东盟发表联合声明再承诺落实DOC,中国倡议与东盟发表联合声明。,再承诺落实DOC。,顺承,2015,倡议东盟
日扣押台渔船争议升级马英九要求派舰艇护渔,日方扣押台渔船。,马英九要求派舰艇护渔。,因果,2015,台
日外相明天访问中国王毅将和岸田举行会谈,日外相明天访问中国。,王毅将和岸田举行会谈。,并发,2015,中国王毅岸田
新加坡防长吁亚太各国加强军事合作,新加坡防长呼吁亚太各国加强军事合作。,亚太各国可能会响应这一呼吁以增强地区安全。,因果,2015,
外媒：中国守护南海主权决心坚定,中国在南海展现出对主权的坚定决心。,外媒报道了中国在南海的这一举措。,顺承,2015,中国南海
美国防部报告：去年针对13国搞“航行自由”,美国防部报告去年针对13国实施“航行自由”行动。,美国开展的“航行自由”行动涉及到特定国家。,上下位,2015,
奥巴马称不会放弃美韩军演,奥巴马称不会放弃美韩军演。,美韩军演计划继续进行。,顺承,2015,奥巴马称美韩
外交部：日方在南海问题上应摆正位置和心态,外交部发言人发表声明。,日方在南海问题上需要摆正位置和心态。,因果,2015,：
外媒评岸田访华：两国外长或就南海问题角力,岸田访华。,两国外长或就南海问题角力。,顺承,2015,南海
专家：中国不接受“南海仲裁”有理有据,中国不接受“南海仲裁”。,专家认为这一立场有理有据。,因果,2015,中国南海
中国渔船被印尼扣留中方吁尽快释放被扣渔船,中国渔船被印尼扣留。,中方吁尽快释放被扣渔船。,顺承,2015,印尼
安理会强烈谴责朝鲜发射潜射导弹,安理会强烈谴责朝鲜发射潜射导弹。,朝鲜发射了潜射导弹。,因果,2015,朝鲜
逾165国于纽约签署《巴黎协定》,逾165国于纽约签署《巴黎协定》。,各国承诺采取行动应对气候变化。,因果,2015,纽约巴黎
中国拟建20座浮动核电站未来或用在南海,中国拟建20座浮动核电站。,未来可能在南海使用这些浮动核电站。,顺承,2015,中国拟建南海
王毅谈中方和文柬老三国就南海问题达成的四项共识,王毅谈到中方和文柬老三国就南海问题达成的四项共识。,南海问题相关各国就此达成共识。,因果,2015,南海
中国出版北极航行指南,中国出版北极航行指南。,中国希望通过该指南促进对北极地区的航行与开发。,因果,2015,
王毅：借仲裁施压是政治傲慢和法律偏见,王毅发表了关于仲裁施压的看法。,王毅称这种行为是政治傲慢和法律偏见。,因果,2015,
王毅：“双轨思路”是解决南海问题最现实可行之道,王毅提出“双轨思路”。,双轨思路被视为解决南海问题的现实可行之道。,因果,2015,南海
外媒关注中国回应东风-41试射：不针对任何国家,外媒关注中国回应东风-41试射。,中国表示试射不针对任何国家。,因果,2015,
安倍向靖国神社供奉祭品,安倍向靖国神社供奉祭品。,这一行为引发了国内外的争议。,因果,2015,
联合国专员狠批安倍强行压制舆论,联合国专员批评安倍政府。,安倍政府强行压制舆论。,因果,2015,安倍
中俄印三国合作如何实现1+1+1大于3,中俄印三国举行合作会议。,三国共同推出经济合作计划。,顺承,2015,印
美媒称丝绸之路复兴宣告西方时代结束,丝绸之路复兴。,美媒称西方时代结束。,因果,2015,
郑永年：南海僵局及其未来,郑永年讨论南海僵局的现状。,郑永年对南海未来的展望。,顺承,2015,南海
中国军机首次公开降落永暑礁,中国军机首次公开降落永暑礁。,中国对南海的主权声索得到进一步的展示。,因果,2015,中国永暑礁
专家称中美关系危机升高总体可控,专家称中美关系危机升高。,专家认为中美关系的危机总体可控。,因果,2015,中
二十国集团财长和央行行长会议在华盛顿举行,二十国集团财长和央行行长会议在华盛顿举行。,各国领导人就经济合作进行讨论。,顺承,2015,
国防部：美菲联合军演体现“冷战思维”,美菲联合军演。,国防部称该军演体现“冷战思维”。,因果,2015,：菲
杨洁篪：中国发展为世界注入正能量,杨洁篪指出中国发展为世界注入正能量。,世界从中国的发展中获得积极影响。,因果,2015,中国
习近平会见澳大利亚总理特恩布尔,习近平会见澳大利亚总理特恩布尔。,习近平与特恩布尔讨论了双边关系和合作问题。,顺承,2015,习近平澳大利亚特恩布尔
菲总统参选人避谈南海政策细节,菲总统参选人避谈南海政策细节。,菲总统参选人在竞选中未透露具体的南海政策。,顺承,2015,南海
澳总理访华未提及南海问题,澳大利亚总理访问中国。,澳总理未提及南海问题。,并发,2015,南海
朝鲜今日凌晨发射中程弹道导弹疑遭失败,朝鲜今日凌晨发射中程弹道导弹。,该发射疑遭失败。,因果,2015,
环球时报：将南海争端国际化是徒劳,南海争端被国际化。,环球时报认为这一举措是徒劳。,因果,2015,南海
中国召见G7国家使节表明对东海及南海立场,中国召见G7国家使节。,中国表明对东海及南海的立场。,顺承,2015,中国东海南海
李显龙：台湾一旦与大陆正面冲突将会被孤立,李显龙表示台湾一旦与大陆正面冲突。,台湾将会被孤立。,因果,2015,台湾
中方：菲律宾在中业岛的行为充分暴露其虚伪性,中方认为菲律宾在中业岛的行为虚伪。,中方对菲律宾的行为表示强烈不满。,因果,2015,菲律宾中业岛
中日就G7外长会声明隔空交锋,中日就G7外长会声明进行隔空交锋。,G7外长会发表声明。,因果,2015,
印美将签军事后勤支援协定,印度和美国将签署军事后勤支援协定。,双方将加强军事合作与支持。,因果,2015,美
台湾加入亚投行计划宣告破局,台湾加入亚投行的计划。,台湾加入亚投行的计划宣告破局。,因果,2015,
外交部回应G7外长会声明：强烈不满,外交部回应G7外长会声明。,外交部表示强烈不满。,顺承,2015,
郑永年：西方对中国内政外交的五大误读,郑永年讨论西方对中国内政外交的误读。,西方对中国的内政与外交存在五大误读。,上下位,2015,：西方
外交部与联合国亚太经社会签署“一带一路”合作文件,外交部与联合国亚太经社会签署“一带一路”合作文件。,这一合作文件将促进地区经济发展与合作。,因果,2015,与联合国亚太经社会签署
美防长因“日程问题”取消访中国,美防长原计划访中国。,美防长因“日程问题”取消访中国。,因果,2015,美中国
埃及沙特欲建红海大桥连接亚非,埃及和沙特计划建造红海大桥。,该大桥将连接亚非两大洲。,因果,2015,埃及沙特欲红海非
俞正声会见马耳他议长法鲁贾,俞正声会见马耳他议长法鲁贾。,俞正声与法鲁贾进行交流。,并发,2015,俞正声马耳他法鲁贾
美国对菲律宾军援创15年新高,美国对菲律宾的军援金额增加。,该军援金额创下15年来的新高。,顺承,2015,对菲律宾
王毅会见英国外交大臣哈蒙德,王毅会见英国外交大臣哈蒙德。,哈蒙德与王毅讨论中英关系和国际事务。,顺承,2015,王毅英国哈蒙德
王毅：不应把争议问题带进G7,王毅发表声明称不应把争议问题带进G7。,G7会议存在争议问题。,因果,2015,
李克强会见德国外长施泰因迈尔,李克强会见德国外长施泰因迈尔。,李克强与施泰因迈尔进行外交交流。,并发,2015,李克强德国施泰因迈尔
吴建民：应对南海问题要沉住气、全面看、有信心,吴建民提出应对南海问题的策略。,应对南海问题需要沉住气、全面看、有信心。,条件,2015,南海
日本鼓动G7向中国施压,日本鼓动G7。,G7向中国施压。,因果,2015,日本中国
专家：中国为维护南海和平稳定发挥了“灯塔”作用,中国为维护南海和平稳定发挥了“灯塔”作用。,南海地区的和平稳定得到了改善。,因果,2015,中国南海
《中菲南海仲裁案》出版,《中菲南海仲裁案》出版。,中国政府发表对《中菲南海仲裁案》的正式声明。,顺承,2015,南海
"日欲派""航母级""护卫舰赴菲军演","日欲派""航母级""护卫舰赴菲军演。",日本参与菲律宾的军演。,顺承,2015,欲
中国海警船继续巡航钓鱼岛,中国海警船继续巡航钓鱼岛。,钓鱼岛的主权争议尚未解决。,因果,2015,中国钓鱼岛
安倍欲强化日美同盟威慑中国,安倍欲强化日美同盟。,威慑中国。,因果,2015,日美中国
王毅会见缅甸总统廷觉,王毅会见缅甸总统廷觉。,双方讨论了两国关系及合作事宜。,顺承,2015,王毅缅甸廷觉
日本想把南海东海问题写进G7首脑宣言,日本想把南海东海问题写进G7首脑宣言。,G7首脑宣言中可能包含南海东海相关内容。,顺承,2015,南海东海
美称南海“航行自由”是其核心利益,美称南海“航行自由”。,南海是美国的核心利益。,因果,2015,南海
王毅：携手开辟中缅关系的新未来,王毅提出携手开辟中缅关系的新未来。,中缅两国可能加强合作与交流。,因果,2015,携手
外媒称美军计划第三次巡航南海,美军计划第三次巡航南海。,外媒对此进行了报道。,顺承,2015,南海
外媒称日新增巡逻船加强钓岛警备,日本新增巡逻船。,日本加强钓岛警备。,因果,2015,日
郑永年：对话文明与文明对话,郑永年谈论了“对话文明”。,郑永年探讨了“文明对话”。,并发,2015,对话
韩国炮兵在朝鲜半岛东海岸实弹演习,韩国炮兵在朝鲜半岛东海岸进行实弹演习。,周边国家对韩国的军事演习表示关注。,因果,2015,朝鲜半岛海岸
越南声称一中国船只“侵犯领海”并将其扣留,越南声称一中国船只“侵犯领海”。,越南将该船只扣留。,顺承,2015,声称中国
专家称南海舆论战不能让美国牵着走,专家称南海舆论战不能让美国牵着走。,南海舆论战的影响力与涉及的国家和利益相关。,因果,2015,南海美国
马来西亚正核实毛里求斯新发现疑似MH370残骸,马来西亚正核实毛里求斯新发现疑似MH370残骸。,疑似MH370残骸的发现。,顺承,2015,正核实毛里求斯
韩总统朴槿惠率经济使节团访问墨西哥,韩总统朴槿惠率经济使节团访问墨西哥。,韩方与墨西哥开展经济合作。,顺承,2015,韩朴槿惠墨西哥
核安全合作成中美关系新亮点,中美之间进行核安全合作。,核安全合作成为中美关系的新亮点。,因果,2015,中美
日美称为防核恐袭将共享情报,日美将共享情报以防核恐袭。,日美称为防核恐袭。,因果,2015,美称
越南国会选举陈大光为国家主席,越南国会选举陈大光为国家主席。,陈大光正式成为越南国家主席。,顺承,2015,陈大光
专家称民进党版“两岸协议监督条例草案”毫无善意,专家称民进党版“两岸协议监督条例草案”毫无善意。,民进党提出“两岸协议监督条例草案”。,因果,2015,
习近平出席第四届核安全峰会并发表重要讲话,习近平出席第四届核安全峰会。,习近平发表重要讲话。,顺承,2015,
韩媒称韩拟设人工鱼礁防中国渔船非法捕捞,韩国拟设人工鱼礁。,防止中国渔船非法捕捞。,因果,2015,韩中国
驻新加坡大使：仲裁能解决中菲南海争议吗?,驻新加坡大使提出仲裁能否解决中菲南海争议的问题。,中菲之间存在南海争议。,因果,2015,新加坡中南海
中国高官将访日磋商朝鲜问题,中国高官将访日。,磋商朝鲜问题。,顺承,2015,中国日朝鲜
习近平会见美国总统奥巴马,习近平会见美国总统奥巴马。,两国领导人讨论了中美关系和国际事务。,顺承,2015,习近平美国奥巴马
美能源部长高度评价中美核安保合作,美能源部长高度评价中美核安保合作。,中美进行核安全领域的合作。,因果,2015,中美
习近平会见丹麦首相拉斯穆森,习近平会见丹麦首相拉斯穆森。,双方进行了一系列的友好交流与合作讨论。,顺承,2015,习近平丹麦拉斯穆森
习近平抵达华盛顿出席第四届核安全峰会,习近平抵达华盛顿。,习近平出席第四届核安全峰会。,顺承,2015,华盛顿
薛力：“一带一路”下的中欧合作如何双赢？,薛力讨论了“一带一路”下的中欧合作。,中欧合作可能实现双赢。,因果,2015,：欧
美高官称日自卫队或将定期参加美菲军演,美高官称日自卫队或将定期参加美菲军演。,美菲军演将在未来进行。,条件,2015,日自卫队美菲
习近平同捷克总统共同出席中捷经贸合作圆桌会,习近平同捷克总统共同出席中捷经贸合作圆桌会。,中捷两国的经贸合作正在进行。,并发,2015,同捷克中捷
中美携手共同加强核安保,中美携手共同加强核安保。,两国共同开展核安全合作项目。,顺承,2015,美
日学者：新安保法强化日美同盟,新安保法的实施。,日美同盟得到了强化。,因果,2015,日美同盟
台湾“双英会”今日登场,台湾“双英会”今日登场。,台湾的两位重要领导人会面。,顺承,2015,
日本新安保法实施引周边邻国警惕,日本新安保法实施。,周边邻国对日本新安保法表示警惕。,因果,2015,
美菲联合军演将现夺岛演习,美菲联合军演将进行夺岛演习。,美菲双方在联合军演中合作进行军事训练。,并发,2015,联合
马防长否认中国渔船进入马国水域,马防长否认中国渔船进入马国水域。,马国水域是否有中国渔船进入的争议。,因果,2015,中国马国
台媒评日本正式实施新安保法,日本正式实施新安保法。,台媒对此进行评述。,并发,2015,日本
日启动距钓鱼岛150公里的雷达基地,日本启动距钓鱼岛150公里的雷达基地。,可能会引发钓鱼岛地区的紧张局势。,因果,2015,钓鱼岛
日军方智库渲染东海南海局势,日军方智库发布关于东海南海局势的报告。,该报告引发国际社会对东海南海局势的关注。,因果,2015,东海南海局势
中国海军赴印尼参加16国演习,中国海军赴印尼参加16国演习。,该演习旨在提升参与国的海上协作能力。,因果,2015,印尼
习近平电贺洪秀柱当选国民党主席,习近平电贺洪秀柱当选国民党主席。,洪秀柱成为国民党主席。,因果,2015,洪秀柱
"境外媒体关注""习奥会""","境外媒体关注""习奥会""。",讨论中美关系的热点问题。,并发,2015,
郑永年：中国处理南海问题要有耐心,郑永年提到中国处理南海问题要有耐心。,中国在南海的具体行动或策略。,条件,2015,中国南海
越南抗议台湾邀外媒登陆太平岛,越南抗议台湾邀外媒登陆太平岛。,外媒对太平岛的报道增加。,因果,2015,越南台湾太平岛
旺报：大陆力邀泛绿智库参与南海研究,大陆力邀泛绿智库参与南海研究。,泛绿智库参与南海研究。,顺承,2015,南海
南海议题三现博鳌论坛互信成关键词,博鳌论坛召开。,南海议题成为讨论的重点。,顺承,2015,
外媒称俄拟在日俄争议岛屿设基地,俄罗斯计划在日俄争议岛屿设立基地。,外媒对此消息进行报道。,顺承,2015,俄日
李克强博鳌回应中外各界嘉宾关切,李克强在博鳌回应了中外各界嘉宾的关切。,中外各界嘉宾对某些问题表示关切。,顺承,2015,李克强博鳌回应
李军出席致辞博鳌论坛年会南海分论坛,李军出席博鳌论坛年会南海分论坛。,李军进行致辞。,顺承,2015,出席博鳌南海
2016年博鳌亚洲论坛南海分论坛开幕,2016年博鳌亚洲论坛南海分论坛开幕。,与会代表讨论南海的相关问题。,并发,2015,南海
中国－东南亚南海研究中心揭牌仪式举行,中国－东南亚南海研究中心揭牌仪式举行。,该中心将致力于推动南海区域的合作与研究。,因果,2015,－东南亚南海中心揭牌
外媒关注澜湄合作：搁置争议聚焦合作共赢,外媒关注澜湄合作。,澜湄合作搁置争议，聚焦合作共赢。,因果,2015,
习近平将在核安全峰会上作主旨发言,习近平将在核安全峰会上作主旨发言。,核安全峰会即将召开。,顺承,2015,
分析称美俄关系走向正常化,美俄双方进行高层会晤以促进外交关系。,美俄关系表现出缓和与合作的迹象。,因果,2015,美俄
美国已正式邀请中国参加环太平洋联合军演,美国已正式邀请中国参加环太平洋联合军演。,中国接受了邀请并准备参与演习。,顺承,2015,已正式中国太平洋
李克强：携手打造澜湄国家命运共同体,李克强提议携手打造澜湄国家命运共同体。,各澜湄国家将加强合作与发展。,因果,2015,：
美军最新锐战舰或部署太平洋,美军最新锐战舰将要部署到太平洋。,太平洋地区的军事战略形势可能会发生变化。,因果,2015,美军太平洋
美重新评估是否邀中国参加环太平洋军演,美重新评估是否邀中国参加环太平洋军演。,中国是否参加环太平洋军演。,条件,2015,重新评估中国太平洋
李克强：争取在2016年完成RCEP谈判,李克强表示争取在2016年完成RCEP谈判。,RCEP谈判的相关进展。,顺承,2015,争取
博鳌亚洲论坛2016年年会举行,博鳌亚洲论坛2016年年会举行。,来自各国的代表参加了年会。,并发,2015,
日媒称日本拟强化与南海周边国家安保合作,日本拟强化与南海周边国家安保合作。,日本在南海地区的安全合作将增强地区稳定。,因果,2015,日本南海
泰企业家：澜湄合作将推动区域国家合作共赢,泰企业家认为澜湄合作将推动区域国家合作共赢。,区域国家之间的合作增加。,因果,2015,
美媒称澳大利亚针对中国大规模扩充军备,澳大利亚针对中国大规模扩充军备。,美媒对此报道。,并发,2015,澳大利亚中国
日本新教材称钓鱼岛为日“固有领土”,日本新教材称钓鱼岛为日“固有领土”。,日本与中国之间的领土争议加剧。,因果,2015,钓鱼岛日
郑永年：特朗普主义和美国民主的困境,郑永年讨论特朗普主义。,郑永年分析美国民主的困境。,并发,2015,特朗普主义美国
习近平同德国总统高克举行会谈,习近平同德国总统高克举行会谈。,会谈中讨论了多项国际与双边关系议题。,顺承,2015,德国高克
日媒称中国科考船在冲鸟礁附近航行遭日方警告,中国科考船在冲鸟礁附近航行。,日方对中国科考船发出警告。,顺承,2015,中国冲鸟礁
透视澜湄六国合作,澜湄六国开展合作。,各国在经济、文化等领域加强交流与合作。,并发,2015,
基辛格：上海公报精神适用于南海,基辛格提到上海公报精神。,上海公报精神适用于南海。,因果,2015,基辛格上海南海
基辛格：中美之间不存在“修昔底德陷阱”,基辛格表示中美之间不存在“修昔底德陷阱”。,中美关系的未来可能并不悲观。,因果,2015,：中美
美将派军驻扎菲五基地,美将派军驻扎菲五基地。,美军将在该基地进行军事训练和演习。,顺承,2015,将
美报告称中国反介入能力远至关岛,中国的反介入能力得到了提升。,美方报告指出这一能力涉及到关岛区域。,因果,2015,美中国关岛
美军在朝鲜半岛部署登陆平台舰,美军在朝鲜半岛部署登陆平台舰。,该地区的军事紧张局势加剧。,因果,2015,朝鲜
日媒称朝鲜导弹落入日本防空识别区海域,朝鲜导弹落入日本防空识别区海域。,日本媒体对此事件进行报道。,顺承,2015,朝鲜日本
阿根廷外长首次就中国渔船被击沉事件公开表态,阿根廷外长首次就中国渔船被击沉事件公开表态。,中国渔船被击沉。,顺承,2015,中国
日本将启用新雷达观测站加强对钓鱼岛监控,日本将启用新雷达观测站。,加强对钓鱼岛监控。,因果,2015,启用
中美核安保示范中心落成,中美核安保示范中心落成。,中美双方在核安全领域的合作得到加强。,因果,2015,美
菲将与美举行“肩并肩”联合军演,菲将与美举行“肩并肩”联合军演。,这次军演可能增强菲与美之间的军事合作。,因果,2015,美
李克强将出席博鳌亚洲论坛2016年年会,李克强将出席博鳌亚洲论坛2016年年会。,博鳌亚洲论坛2016年年会即将举行。,顺承,2015,博鳌
澳媒称中国着手制定北极战略,中国着手制定北极战略。,澳媒对此进行报道。,并发,2015,中国北极
美司令称“强权即公理”在南海抬头,美司令称“强权即公理”在南海抬头。,南海地区的国际关系和安全局势受到影响。,因果,2015,
外媒称日本潜艇将访菲并参加演习,日本潜艇将访菲。,日本潜艇参加演习。,顺承,2015,
外交部抗议中国渔船被阿根廷击沉,外交部抗议中国渔船被阿根廷击沉。,国际社会关注中阿之间的冲突。,因果,2015,外交部中国阿根廷击沉
李克强总理答记者问（节选）,李克强总理在记者会上发表讲话。,记者们针对不同问题向李克强总理提问。,并发,2015,
美媒称美印日澳向非正式联盟迈进,美媒称美印日澳向非正式联盟迈进。,美印日澳国家之间加强合作与交流。,因果,2015,美印日澳
三沙市委书记：永兴岛1000吨海水淡化工程已完工,永兴岛1000吨海水淡化工程已完工。,三沙市委书记对该工程进行了说明。,顺承,2015,永兴岛
菲新任外长称倾向扩大对华友好,菲新任外长表示倾向扩大对华友好。,菲国与中国之间的关系可能会改善。,因果,2015,
日执政党称将就东海油气田问题提起对华诉讼,日执政党称将就东海油气田问题提起对华诉讼。,东海油气田问题引发国际争议。,因果,2015,东海油气田
俄驻叙利亚主要军事力量开始撤离,俄驻叙利亚主要军事力量开始撤离。,叙利亚局势发生变化。,因果,2015,叙利亚
专家：外媒错误解读中国海事司法中心,外媒错误解读中国海事司法中心。,专家对此进行澄清和解释。,顺承,2015,专家中国中心
郑永年：供给侧改革的中央政策环境,郑永年谈论供给侧改革的中央政策环境。,供给侧改革的政策在中央政府的推动下逐步实施。,顺承,2015,：改革
王毅会见阿塞拜疆外长马梅德亚罗夫,王毅会见阿塞拜疆外长马梅德亚罗夫。,双方讨论了双边关系与合作。,顺承,2015,王毅阿塞拜疆马梅德亚罗夫
中国拟设国际海事司法中心,中国拟设国际海事司法中心。,国际社会可能将接受中国的海事法律服务。,条件,2015,
三沙市委书记：拓展蓝色经济空间需陆海统筹,三沙市委书记提到拓展蓝色经济空间。,需要进行陆海统筹。,因果,2015,
美国“斯坦尼斯号”核动力航母抵韩参加韩美军演,美国“斯坦尼斯号”核动力航母抵韩。,参加韩美军演。,顺承,2015,美国韩美
永兴岛机场有望年内通航,永兴岛机场有望年内通航。,永兴岛的交通基础设施将得到改善。,因果,2015,
欧盟批准中法合建英国核电站,欧盟批准中法合建英国核电站。,中法两国开始合作建设该核电站。,顺承,2015,中法英国
崔世昌：将澳门打造成“海上丝绸之路”重要节点,崔世昌提到将澳门打造成“海上丝绸之路”重要节点。,澳门被发展为“海上丝绸之路”的重要节点。,顺承,2015,
中国第三支赴利比里亚维和警察防暴队完成任务归国,中国第三支赴利比里亚维和警察防暴队完成任务。,警察防暴队归国。,顺承,2015,支
印媒称中巴联手改变南亚地缘政治,中巴联手。,改变南亚地缘政治。,因果,2015,中巴南亚
日本将派潜艇参加澳洲军演,日本将派潜艇参加澳洲军演。,此举可能增强日本与澳洲的军事合作关系。,因果,2015,日本将澳洲
俄罗斯总统普京会见王毅,俄罗斯总统普京会见王毅。,双方就国际形势和双边关系进行讨论。,顺承,2015,普京王毅
中日开展对话避免东海空域危机,中日开展对话。,避免东海空域危机。,因果,2015,日东海
台媒称美国务院同意售台两艘巡防舰,美国务院同意售台两艘巡防舰。,台媒对此消息进行报道。,顺承,2015,
美将在亚太部署三架B-2隐形轰炸机,美将在亚太部署三架B-2隐形轰炸机。,这项部署可能会引起区域内国家的关注和反应。,因果,2015,将
舆论关注蔡英文就职演说,舆论关注蔡英文就职演说。,蔡英文进行了就职演说。,顺承,2015,蔡英文
吴士存：美日搅局加剧南海紧张,美日加大在南海的干预。,南海地区的紧张局势加剧。,因果,2015,吴士存美日南海
印度称未考虑参与亚太地区联合巡航,印度称未考虑参与亚太地区联合巡航。,未提及或未发生其他事件。,"",2015,
朝鲜发射2枚短程弹道导弹,朝鲜发射了2枚短程弹道导弹。,国际社会对朝鲜的导弹发射表示关注。,因果,2015,
回应南海争端中国外长连说五个“不”,南海争端中，中国外长在发言中连续说了五个“不”。,这一言辞旨在强调中国在南海问题上的立场和态度。,因果,2015,
日本官方文件称将加强与东盟合作对抗周边国家,日本官方文件称将加强与东盟合作。,日本对抗周边国家。,因果,2015,官方东盟
专家：认同“九二共识”方能良性互动,专家提出认同“九二共识”。,良性互动得以实现。,因果,2015,
